;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tremenda Graça;;Grande é o Senhor;;Indesculpável;;Ele é Exaltado;;Meu Prazer;;Vitorioso És;;Me Atraiu;;Gratidão - FHOP;;Digno é o Senhor - Gabi Sampaio / Carol Braga;;Me ama;;Não Há Amor Igual;;Oh quão lindo esse nome é;;Emaús;;A Ele a glória;;Perdoados;;Graça;;Rei da Glória;;Santo de Israel;;Que Ruja o Leão;;Meia Noite;;Exaltamos Yahweh;;Somente Cristo;;Há Poder;;Canção do Apocalipse;;Bondade de Deus - Isaias Saad;;Bondade de Deus - FHOP;;Digno é o Senhor - Felipe Rodrigues;;Jesus em Tua presença - Morada;;Gratidão - Brandon Lake;;Gratidão - Brandon Lake (Live);;Pra Sempre - Fernandinho;;Pra Sempre - Nivea Soares;;Da Vida, O Melhor - Projeto Sola;;Teu Povo - IPALPHA;;Louve - Lukas Agustinho;;Pai Nosso - Pedras Vivas;;Isaias 6 - Morada;;Filho do Deus Vivo - Nivea Soares;;Unico - FHOP;;É Tudo Sobre Voce - Morada;;Alegria/Sou feliz;;Canção ao Cordeiro;;No Meio dos Louvores - Israel Salazar;;Sublime - FHOP;;;;Glorioso Dia;;Eu Sou Teu;;Atos 2;;Eu Vou Construir
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[HiHat Double] ou [HiHat Single];;[Pausa];;[Surdo + Tom];;[Pausa] ;;[Pausa];;[Pausa];;[Pausa];;[Pausa] ;;[Pausa];;[Marcação];;[HiHat] (Tu... .TuTuTaTa... TuTuTa...);;[Pausa];;[Pausa];;[Pausa];;[HiHat] (Tu... Ta.. .Ta...  .TaTa);;[Ride] (ta tu tu ta tu tu ta tu);;[Surdo] (Tu... .... .... TuTu... .Ti. .TiTi...);;[Essa musica é bem expontânea];;[Pausa];;[Pausa];;[Pausa];;[Pausa];;[Pausa];;[Pausa];;[Pausa];;[Virada Intro] (Tu.. Tra.. Tu.. Tra.. TuTuTu...);;[Pausa];;[Pausa];;[Pausa];;[Pausa];;[Pausa];;[Bumbo + HiHat];;[Marcação Bumbo];;[Pausa];;[Surdo] (Tu.. .Tu.. .Tu.. Bu.. TaTa.. TuTu(Tu));;[Caixa] (Tu... Ta... .TuRuTuTu... Ta...);;[Ride];;[Surdo] (Crescente);;[Surdo] (Tu.. .Tu..) (Tu..Tu...);;[Pausa];;[Aro + Bumbo];;[Pausa];;[Ride] (Ta.. Ti.. Ta.. Ti.. Ta.. Ti.. Ta.. Ti..);;[Pausa];;;;[Pausa] (Marcação no Chimbal pra n ficar muito vazio);;[Caixa] (Tu... Ta... Tu... .Ta.. Ta...);;[Pausa];;[Pausa]
INSTRUMENTAL;;És a vida, és o amor;;INSTRUMENTAL;;Ele é exaltado, o Rei é exaltado;;Em espírito, em verdade;;Lutamos com armas de fé;;Eu poderia estar;;Nada novo achei;;Graças eu Te dou, Pai;;Instrumental;;Instrumental;;No início eras a Palavra;;Instrumental;;Porque Dele e por Ele;;Instrumental;;Instrumental;;Instrumental;;[Posso me soltar 100%];;Sobre o trono de justiça;;Um dia, o Filho do Homem retornará;;Cantai louvores ao Senhor;;Éramos fracos, andávamos cegos;;O Verbo Vivo que deixou Sua glória por nós;;Digno é o Cordeiro que foi morto;;Te amo, Deus;;[HiHat] (Tu.. .TuTa... Tu.. TuTu.. Ta...);;Graças eu Te dou, Pai;;Jesus, em Tua presença, Reunimo-nos aqui;;Nada novo achei;;Nada novo achei;;Instrumental;;Instrumental;;Nova vida para sempre;;Tu és a luz que brilha sobre a escuridão;;Tudo o que tem;;Instrumental;;Instrumental;;Ooh Ooh Ooh;;Instrumental ;;A porta da casa mais simples;;Instrumental;;Vamos cantar;;Instrumental;;Quem é como Tu?;;;;Minha vergonha me sepultou;;Instrumental;;Nós estamos aqui, Tão sedentos de Ti, Vem oh Deus, vem oh Deus;;Digno desta canção só Tu és, Senhor
INSTRUMENTAL;;Esperança que restaura;;INSTRUMENTAL;;Ele é exaltado, pra sempre exaltado;;Em espírito, em verdade;;E nada irá resistir, Enquanto adoramos;;Em qualquer outro lugar;;Posso até cantar;;Pelos cravos em Tuas mãos;;;;Instrumental;;Um com Deus, o Altíssimo;;;;Para Ele são todas as coisas;;;;;;;;;;Eternamente haverá um Rei;;Com muito poder e glória Ele reinará;;Exultai ao Deus da Salvação;;Estávamos mortos em nossos pecados;;Em amor, se entregou;;Santo, santo Ele é;;És fiel em todo tempo (Tu.. tu tu);;Instrumental;;Pelo preço que pagou;;Contemplamos Tua face, E rendemo-nos a Ti;;Pra dizer então;;Pra dizer então;;;;;;Uma família, alegria;;Tu és a paz que acalma todo coração;;Fôlego;;;;Instrumental;;;;;;Que o anjo da morte não entra;;;;Uma canção ao Cordeiro;;;;Jesus;;;;Eu buscava um salvador;;;;Enche este lugar, Meu desejo é sentir, Teu poder, Teu poder;;Digno do meu louvor só Tu és, Senhor
;;;;;;Ele é o Senhor;;;;Em meio às tribulações;;Mas Tua glória me atraiu;;Então vou levantar;;;;[Marcação];;;;O mistério de Tua Glória;;[Pausa];;Porque Dele e por Ele;;[HiHat] (Tu... Ta.. .Ta...  .TaTa);;[Caixa + Bumbo] (ta... ta... ta... ta...);;[Surdo] (Tu... .... .... TuTu... .Ti. .TiTi...);;[Pausa];;Ele voltará para governar;;;;Ele e não nós que nos formou;;Mas Deus provou seu grande amor;;És o Cristo, Filho de Deus;;Um novo cântico ao que se assenta;;;;;;Sacrifício de amor;;Pois um dia Tua morte, Trouxe vida a todos nós;;Como expressar;;Como expressar;;[Pausa];;[HiHat] (Tu.. Tu.. Ta...)  (.Ta.. .Ta..);;;;És o pão do faminto, a força do aflito;;Louve ao Senhor;;[Caixa] (Tu... Ta... .TuRuTuTu... Ta...);;[Pausa];;[Ride] (Ta Tu Tu Ta Tu Tu Ta Tu);;[Aro] (Tu... ... .TuTa...);;A estrada que corre pro mar;;[Aro];;Vamos cantar;;[HiHat] (Tu... Ta... Tu... Ta...);;Não há ninguém além de Ti;;;;Mas Teu perdão, Me libertou;;[Caixa] (Tu... Ta... Tu... Ta...);;;;Digno da minha vida Tu és, Senhor
[HiHat Groove Normal];;[HiHat]  (Tu... Ta... Tu... Ta...);;[Surdo + Caixa];;Ele é exaltado, o Rei é exaltado;;[Pausa];;O nosso Deus é vencedor, Nós O adoramos;;Tua presença me atraiu;;Sei que é simples pra um Rei;;[Marcação Ride + Bumbo] (Bu... .Bu..);;Tem ciúmes de mim;;[HiHat] (Tu... .Tu.. TaTa... TuTuTa...);;Cristo em ti se revelou;;Quem é esse que vem nos abraçando?;;Para Ele são todas as coisas;;Não havia nele;;Não é pelo que eu fiz (Acentua);;Deixou Sua glória por mim;;Esperava-se um rei;;As nações em amor;;[Surdo Caixa] (tu... ta... tu... ta...);;Se prostrem toda tribo e nação;;Seu sangue trouxe a redenção;;Pelo Seu sangue, uma nova vida nos deu;;Sobre o trono do Céu;;[HiHat] (Tu... Ta...... Ta...);;[Surdo] (Bumbo no Tempo) (Bu.. .Tu.. Bu.. Tu...);;Que me comprou;;E nos deu completo acesso, Ao coração do Pai;;Minha gratidão;;Minha gratidão;;O universo chora;;Oh-oh, oh-oh;;[Pausa];;E nós somos teus pés e tuas mãos;;Louve ao Senhor;;Pai nosso nos Céus;;;;Ooh Ooh Ooh;;Veja, a vinda está tão perto;;O vento que abre o caminho é Você;;Não posso te ver, mas eu te amo;;Uma canção ao Cordeiro;;Todos reunidos;;Que é manso e;;;;;;Eis me aqui, Senhor;;[Pausa];;Oh, eu sou Teu
Que quebra o jugo do meu pecado;;És a vida, és o amor;;O engano se aproxima;;;;Em espírito, em verdade;;;;;;;;Digno é o Senhor;;O Seu amor é como um furacão;;Nada se compara ao Teu amor;;;;Quem é esse que vem nos constrangendo com o olhar?;;;;Beleza ou formosura;;O nome disso é graça (Crescente e Pausa);;Se fez desprezível por mim;;Dos homens;;;;Mas quanto ao dia e a hora, quem saberá?;;;;;;Sua dor nos redimiu;;;;Tua doce voz;;Te amo, Deus, tua graça nunca falha;;Ungido do Senhor;;;;;;;;O Sol se apagou;;Oh-oh, oh-oh;;Ohh Ohh Ohh;;;;;;Santo é o Teu nome;;[Pausa];;;;Prove, a paz não está tão longe;;;;Não posso te ver, mas creio em ti;;Vamos cantar;;Juntos em um só lugar, a congregar;;Humilde assim;;;;[Bumbo];;Buscando Tua verdade e amor;;Nós estamos aqui, Tão sedentos de Ti, Vem oh Deus, vem oh Deus;;
Que treme a terra, com trovão santo;;Esperança que restaura;;Se levantem, atalaias;;[HiHat];;Em espírito, em verdade;;[Marcação];;[Pausa];;[HiHat] (tu... ta... tu... ta...);;[Marcação Ride + Tons] (Bu... .Bu..);;E eu me rendo ao vento de Sua misericórdia;;Deixou Sua glória e habitou entre nós;;[Pausa];;Ele é tão sábio;;[Pausa];;Pra que fosse vista;;[Pausa] (Pausa no 'Gra' e volta no 4);;Levou todo o fardo que era meu;;E veio o rei dos céus;;[Marcação] (Tu.. .Tu..);;Nem os anjos do céu, nem o Filho, somente o Pai;;[Pausa];;[Pausa];;És o Cristo, Filho de Deus;;[HiHat] (Tu... Ta... .Tu.. .Tu.. Ta...);;Sei que és meu Pai;;Todos os dias eu estou em Tuas mãos;;;;[Pausa];;[Pausa];;[Pausa];;Ali estava morto o salvador;;;;;;[Pausa] (Bu... ... Bu.. Bu... Ti...);;[Surdo] (Tu.. .Tu.. .Tu.. Bu.. TaTa.. TuTu(Tu));;Teu reino buscamos;;Eu vi o Senhor sentado;;[Ride] (Ta Tu Tu Ta Tu Tu Ta Tu);;Cadê as sombras que nos seguiam?;;[Pausa];;Como é feliz quem anda na luz;;Uma canção ao Cordeiro, vamos;;Vai começar a festa;;Não há ninguém igual a Ti;;;;Morto estava em meu interior;;Eu vim neste lugar;;Enche este lugar, Meu desejo é sentir, Teu poder, Teu poder;;[Pausa]
;;Com Teu fôlego dentro em nós;;;;Ele é exaltado, o Rei é exaltado;;;;Vitorioso És, Na tempestade estás;;Tentei me esconder;;Em resposta a Ti;;Elevo minhas mãos;;Então, de repente, não vejo mais minhas aflições;;Em tudo foi tentado;;Oh quão lindo esse nome é;;Ensina em amor;;Porque Dele e por Ele;;[HiHat] (Tu... Ta.. .Ta...  .TaTa);;;;Levou o pecado que era meu;;Nasceu em uma manjedoura;;Que ruja o leão;;Então vigiai e orai;;Ao Supremo Deus;;A nossa glória é Cristo;;;;Digno é o Cordeiro que foi morto;;;;Desde quando me levanto até eu me deitar;;[Pausa];;E o véu que separava, Já não separa mais;;Posso até cantar;;Posso até cantar;;Seu corpo lá na cruz;;[HiHat] (Tu.. Tu.. Ta.. Tu...) (Tu.. Ta...)  (.Ta.. .Ta..);;[Marcação Bumbo];;Instrumental;;Tudo o que tem;;Tua vontade seja feita;;E a orla de Suas vestes;;Verbo vivo viveu entre nós;;Quebrou o cristal do nosso orgulho;;A nuvem que aponta o destino;;Que vive por fé e pode sentir;;Vamos cantar;;Deus está neste lugar, veio habitar;;Não há;;;;Me escondia de Ti, Senhor;;Tua graça encontrar;;;;Nome que é sobre todos é o Teu, Jesus
[HiHat Double] ou [HiHat Single];;Com Teu fôlego dentro em nós;;[Pausa];;Ele é exaltado, pra sempre exaltado;;[Ride];;Teu nome infalível é;;Por medo de não viver;;Então vou levantar;;[Pausa];;Eu só vejo a glória;;;;Oh quão lindo esse nome é;;Ele é tão manso;;Para Ele são todas as coisas;;Só havia nele;;[Ride] (tu tu ta tu tu tu ta tu);;;;Onde está sua coroa?;;E que a Terra estremeça;;;;;;Nossa coroa é Cristo;;[Pausa];;Santo, santo Ele é;;[Ride];;Eu cantarei da bondade de Deus;;Pelos cravos em Tuas mãos;;A luz que outrora apagada, Agora brilha, E cada dia brilha mais;;Alguma canção;;Alguma canção;;Seu sangue derramou;;Que brilhe a Tua luz;;Caminhar, o amor buscar;;;;Fôlego;;Na terra, como é nos Céus;;;;Filho do homem, filho de Deus;;;;É a mesma que cobre o passado;;;;Uma canção ao Cordeiro;;;;;;;;Mas Teu perdão, Me libertou;;;;[Caixa];;Fonte da salvação só Tu és, Jesus
